,heatingType,newlyConst,balcony,pricetrend,yearConstructed,hasKitchen,cellar,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,garden,city,SizePerRoom
183295,central_heating,False,True,4.52,1906.0,True,True,73.0,fully_renovated,normal,no,False,raised_ground_floor,87600,4.0,109.24,0.0,False,Kaufbeuren,18.25
2667,self_contained_central_heating,False,False,1.51,1955.0,False,True,60.0,well_kept,sophisticated,unknown,False,unknown,58095,2.5,118.0,1.0,False,Hagen,24.0
164742,central_heating,False,False,1.96,2002.0,True,True,43.76,well_kept,sophisticated,negotiable,True,unknown,8056,2.0,62.0,2.0,False,Zwickau,21.88
80918,central_heating,False,True,3.07,1981.0,False,True,70.24,well_kept,normal,yes,False,roof_storey,4205,3.0,80.6,5.0,False,Leipzig,23.41333333333333
95661,central_heating,False,True,1.28,1963.0,False,True,48.3,refurbished,normal,unknown,False,unknown,1705,2.0,104.0,3.0,False,Sächsische_Schweiz_Osterzgebirge_Kreis,24.15
33109,unknown,False,True,1.29,1974.0,False,False,65.92,unknown,unknown,unknown,True,unknown,39124,3.0,60.0,9.0,False,Magdeburg,21.973333333333333
187486,central_heating,False,True,2.19,2000.0,True,True,106.0,mint_condition,sophisticated,no,True,roof_storey,84130,3.0,108.0,3.0,False,Dingolfing_Landau_Kreis,35.333333333333336
81944,central_heating,False,False,2.22,1999.0,False,False,78.56,well_kept,normal,negotiable,False,other,6295,3.0,148.6,1.0,False,Mansfeld_Südharz_Kreis,26.186666666666667
89361,central_heating,False,True,2.74,1994.0,True,True,63.0,unknown,normal,unknown,False,unknown,1239,2.0,127.5,1.0,False,Dresden,31.5
172221,unknown,False,True,0.39,1930.0,False,False,46.3,unknown,normal,unknown,False,ground_floor,9119,2.0,95.0,0.0,False,Chemnitz,23.15
195115,unknown,False,False,0.62,1930.0,False,True,45.4,unknown,unknown,unknown,False,ground_floor,9130,2.0,122.0,0.0,False,Chemnitz,22.7
155780,central_heating,False,False,4.35,1900.0,False,False,58.0,unknown,unknown,negotiable,False,apartment,4155,1.0,171.1,1.0,False,Leipzig,58.0
248417,unknown,False,False,2.44,1960.0,False,True,58.5,well_kept,unknown,unknown,False,apartment,39638,3.0,115.2,2.0,False,Altmarkkreis_Salzwedel,19.5
226031,floor_heating,True,True,0.79,2017.0,False,True,81.8,first_time_use,sophisticated,unknown,True,apartment,85072,2.0,60.0,1.0,False,Eichstätt_Kreis,40.9
195922,central_heating,False,True,3.85,1988.0,False,False,62.44,refurbished,unknown,negotiable,False,apartment,4329,3.0,90.6,5.0,False,Leipzig,20.813333333333333
84741,floor_heating,True,True,4.87,2018.0,False,True,71.0,first_time_use,luxury,unknown,True,apartment,4155,2.0,42.0,0.0,False,Leipzig,35.5
237498,district_heating,False,False,2.82,1936.0,False,True,57.0,unknown,unknown,unknown,False,apartment,66121,2.0,93.0,2.0,False,Stadtverband_Saarbrücken_Kreis,28.5
238716,unknown,False,True,0.64,1973.0,False,False,56.42,unknown,unknown,negotiable,False,other,6886,3.0,96.2,3.0,False,Wittenberg_Kreis,18.80666666666667
149200,central_heating,False,False,3.45,1940.0,False,True,64.93,well_kept,normal,negotiable,False,apartment,4571,4.0,330.0,2.0,False,Leipzig_Kreis,16.2325
125709,district_heating,False,True,3.54,1930.0,False,False,60.54,well_kept,unknown,unknown,False,unknown,45355,2.0,144.56,1.0,False,Essen,30.27
47962,central_heating,False,False,6.76,1932.0,False,True,87.33,well_kept,normal,negotiable,False,unknown,16761,3.0,98.0,2.0,False,Oberhavel_Kreis,29.11
239019,central_heating,False,True,2.05,1973.0,False,True,58.05,unknown,unknown,yes,True,apartment,7549,3.0,84.8,1.0,False,Gera,19.349999999999998
109329,district_heating,False,True,2.84,1966.0,False,True,71.0,first_time_use_after_refurbishment,normal,negotiable,False,apartment,47178,3.0,121.0,2.0,False,Duisburg,23.666666666666668
93601,district_heating,False,True,1.79,1984.0,False,True,51.46,well_kept,unknown,yes,True,ground_floor,99099,2.0,125.0,0.0,False,Erfurt,25.73
200080,central_heating,False,True,1.35,1996.0,False,True,67.0,well_kept,normal,no,False,roof_storey,96515,2.0,78.8,4.0,True,Sonneberg_Kreis,33.5
58512,district_heating,False,True,1.66,2018.0,False,False,97.49,first_time_use,sophisticated,negotiable,True,apartment,1069,2.0,73.0,4.0,False,Dresden,48.745
7000,central_heating,False,True,1.7,1977.0,True,True,80.0,mint_condition,sophisticated,no,False,roof_storey,86633,3.0,123.0,2.0,False,Neuburg_Schrobenhausen_Kreis,26.666666666666668
202604,self_contained_central_heating,False,False,3.33,1904.0,False,False,110.0,well_kept,unknown,unknown,False,apartment,44623,4.0,92.7,1.0,False,Herne,27.5
122579,central_heating,False,True,3.28,1964.0,False,True,55.0,well_kept,normal,negotiable,False,apartment,44866,2.0,176.0,3.0,False,Bochum,27.5
139696,floor_heating,True,True,4.92,2018.0,True,True,86.0,first_time_use,sophisticated,unknown,True,apartment,90419,3.0,46.4,2.0,False,Nürnberg,28.666666666666668
126416,central_heating,False,False,0.38,1906.0,False,False,84.74,refurbished,normal,unknown,False,ground_floor,9120,3.0,182.0,1.0,True,Chemnitz,28.246666666666666
176543,central_heating,False,True,9.32,1910.0,False,False,70.48,mint_condition,sophisticated,negotiable,False,apartment,13088,2.0,64.7,1.0,False,Berlin,35.24
192773,self_contained_central_heating,False,False,3.46,1928.0,False,True,75.0,modernized,sophisticated,negotiable,False,apartment,42551,3.0,171.0,2.0,True,Mettmann_Kreis,25.0
127880,floor_heating,False,True,5.62,2005.0,True,False,83.0,well_kept,sophisticated,no,False,ground_floor,89075,2.5,38.0,1.0,True,Ulm,33.2
125777,oil_heating,False,True,4.0,1975.0,False,False,148.0,fully_renovated,normal,no,False,apartment,52531,4.0,124.1,1.0,True,Heinsberg_Kreis,37.0
164137,central_heating,False,True,0.54,1893.0,True,True,92.44,well_kept,sophisticated,negotiable,False,apartment,9112,3.0,91.4,1.0,True,Chemnitz,30.813333333333333
